
 1700619693.2730079; Info ; Camera stopped recording
 1700619695.2671483; Info ; Camera started recording
 1700619722.5848536; Info ; Camera stopped recording
 1700619748.0383515; Info ; Radar stopped
 1700619748.7843091; Info ; Camera started recording
 1700619751.6088974; Info ; Camera stopped recording
 1700619999.942731; Info ; Camera started recording
 1700620107.6931064; Info ; Radar stopped
 1700620107.7014642; Info ; Radar stopped
 1700620107.70772; Info ; Radar stopped
 1700620107.7144167; Info ; Radar stopped
 1700620107.721053; Info ; Radar stopped
 1700620107.727516; Info ; Radar stopped
 1700620107.7344944; Info ; Radar stopped
 1700620107.7412033; Info ; Radar stopped
 1700620107.7474115; Info ; Radar stopped
 1700620107.753634; Info ; Radar stopped
 1700620107.7607558; Info ; Radar stopped
 1700620107.7674935; Info ; Radar stopped
 1700620107.7742493; Info ; Radar stopped
 1700620107.7810261; Info ; Radar stopped
 1700620107.787783; Info ; Radar stopped
 1700620107.794529; Info ; Radar stopped
 1700620107.8012948; Info ; Radar stopped
 1700620107.8080595; Info ; Radar stopped
 1700620107.814828; Info ; Radar stopped
 1700620107.8212686; Info ; Radar stopped
 1700620107.828317; Info ; Radar stopped
 1700620107.8350868; Info ; Radar stopped
 1700620107.841831; Info ; Radar stopped
 1700620107.8483732; Info ; Radar stopped
 1700620107.8548868; Info ; Radar stopped
 1700620107.8616498; Info ; Radar stopped
 1700620107.868057; Info ; Radar stopped
 1700620107.8751733; Info ; Radar stopped
 1700620107.8819726; Info ; Radar stopped
 1700620107.8887384; Info ; Radar stopped
 1700620107.895478; Info ; Radar stopped
 1700620107.902271; Info ; Radar stopped
 1700620107.9090304; Info ; Radar stopped
 1700620107.915789; Info ; Radar stopped
 1700620107.9222121; Info ; Radar stopped
 1700620107.929251; Info ; Radar stopped
 1700620107.9360087; Info ; Radar stopped
 1700620107.9427814; Info ; Radar stopped
 1700620107.9495451; Info ; Radar stopped
 1700620107.9563186; Info ; Radar stopped
 1700620107.963086; Info ; Radar stopped
 1700620107.9698253; Info ; Radar stopped
 1700620107.9765778; Info ; Radar stopped
 1700620107.9833572; Info ; Radar stopped
 1700620107.989606; Info ; Radar stopped
 1700620107.9968622; Info ; Radar stopped
 1700620108.0036137; Info ; Radar stopped
 1700620108.0103915; Info ; Radar stopped
 1700620108.0171425; Info ; Radar stopped
 1700620108.0239098; Info ; Radar stopped
 1700620108.0306792; Info ; Radar stopped
 1700620108.037409; Info ; Radar stopped
 1700620108.0441678; Info ; Radar stopped
 1700620108.0509264; Info ; Radar stopped
 1700620108.0576913; Info ; Radar stopped
 1700620108.0644436; Info ; Radar stopped
 1700620108.0712135; Info ; Radar stopped
 1700620108.0779724; Info ; Radar stopped
 1700620108.0847473; Info ; Radar stopped
 1700620108.0914857; Info ; Radar stopped
 1700620108.0982833; Info ; Radar stopped
 1700620108.1050537; Info ; Radar stopped
 1700620108.111803; Info ; Radar stopped
 1700620108.1182077; Info ; Radar stopped
 1700620108.1253297; Info ; Radar stopped
 1700620108.1320803; Info ; Radar stopped
 1700620108.138866; Info ; Radar stopped
 1700620108.1456034; Info ; Radar stopped
 1700620108.1523867; Info ; Radar stopped
 1700620108.1591613; Info ; Radar stopped
 1700620108.165912; Info ; Radar stopped
 1700620108.172693; Info ; Radar stopped
 1700620108.1794324; Info ; Radar stopped
 1700620108.186202; Info ; Radar stopped
 1700620108.192886; Info ; Radar stopped
 1700620108.1985707; Info ; Radar stopped
 1700620108.2056882; Info ; Radar stopped
 1700620108.2124403; Info ; Radar stopped
 1700620108.2192137; Info ; Radar stopped
 1700620108.225972; Info ; Radar stopped
 1700620108.2327425; Info ; Radar stopped
 1700620108.239512; Info ; Radar stopped
 1700620108.2462962; Info ; Radar stopped
 1700620108.2528472; Info ; Radar stopped
 1700620108.2598956; Info ; Radar stopped
 1700620108.2665875; Info ; Radar stopped
 1700620108.2728963; Info ; Radar stopped
 1700620108.2799337; Info ; Radar stopped
 1700620108.2859588; Info ; Radar stopped
 1700620108.2927344; Info ; Radar stopped
 1700620108.29915; Info ; Radar stopped
 1700620108.3062584; Info ; Radar stopped
 1700620108.3129613; Info ; Radar stopped
 1700620108.3190231; Info ; Radar stopped
 1700620108.3257108; Info ; Radar stopped
 1700620108.3324184; Info ; Radar stopped
 1700620108.3388145; Info ; Radar stopped
 1700620108.3458998; Info ; Radar stopped
 1700620108.3522513; Info ; Radar stopped
 1700620108.3594122; Info ; Radar stopped
 1700620108.3659892; Info ; Radar stopped
 1700620108.3727763; Info ; Radar stopped
 1700620108.3792307; Info ; Radar stopped
 1700620108.3862092; Info ; Radar stopped
 1700620108.392981; Info ; Radar stopped
 1700620108.3989508; Info ; Radar stopped
 1700620108.4057283; Info ; Radar stopped
 1700620108.4123387; Info ; Radar stopped
 1700620108.4186764; Info ; Radar stopped
 1700620108.4260304; Info ; Radar stopped
 1700620108.432444; Info ; Radar stopped
 1700620108.4386137; Info ; Radar stopped
 1700620108.4458385; Info ; Radar stopped
 1700620108.452446; Info ; Radar stopped
 1700620108.4589715; Info ; Radar stopped
 1700620108.4659228; Info ; Radar stopped
 1700620108.4722855; Info ; Radar stopped
 1700620108.4740698; Info ; Camera started recording
 1700620108.4793427; Info ; Radar stopped
 1700620108.486111; Info ; Radar stopped
 1700620108.4928563; Info ; Radar stopped
 1700620108.4996266; Info ; Radar stopped
 1700620108.506388; Info ; Radar stopped
 1700620108.513161; Info ; Radar stopped
 1700620108.519987; Info ; Radar stopped
 1700620108.5263932; Info ; Radar stopped
 1700620108.5335321; Info ; Radar stopped
 1700620108.5399232; Info ; Radar stopped
 1700620108.5466967; Info ; Radar stopped
 1700620108.5537405; Info ; Radar stopped
 1700620108.5601947; Info ; Radar stopped
 1700620108.5672472; Info ; Radar stopped
 1700620108.5736058; Info ; Radar stopped
 1700620108.5807176; Info ; Radar stopped
 1700620108.5870986; Info ; Radar stopped
 1700620108.5941277; Info ; Radar stopped
 1700620108.6006176; Info ; Radar stopped
 1700620108.6073306; Info ; Radar stopped
 1700620108.6137636; Info ; Radar stopped
 1700620108.6207933; Info ; Radar stopped
 1700620108.6274772; Info ; Radar stopped
 1700620108.633984; Info ; Radar stopped
 1700620108.6409605; Info ; Radar stopped
 1700620108.6473765; Info ; Radar stopped
 1700620108.654481; Info ; Radar stopped
 1700620108.6608377; Info ; Radar stopped
 1700620108.6675847; Info ; Radar stopped
 1700620108.67476; Info ; Radar stopped
 1700620108.6815188; Info ; Radar stopped
 1700620108.6878319; Info ; Radar stopped
 1700620108.6950407; Info ; Radar stopped
 1700620108.7015622; Info ; Radar stopped
 1700620108.7080722; Info ; Radar stopped
 1700620108.7147439; Info ; Radar stopped
 1700620108.7214808; Info ; Radar stopped
 1700620108.7279465; Info ; Radar stopped
 1700620108.7346497; Info ; Radar stopped
 1700620108.741642; Info ; Radar stopped
 1700620108.74805; Info ; Radar stopped
 1700620108.7551794; Info ; Radar stopped
 1700620108.7616074; Info ; Radar stopped
 1700620108.7682977; Info ; Radar stopped
 1700620108.775379; Info ; Radar stopped
 1700620108.7822564; Info ; Radar stopped
 1700620108.7889192; Info ; Radar stopped
 1700620108.7956264; Info ; Radar stopped
 1700620108.802026; Info ; Radar stopped
 1700620108.8087296; Info ; Radar stopped
 1700620108.8154578; Info ; Radar stopped
 1700620108.8225074; Info ; Radar stopped
 1700620108.829257; Info ; Radar stopped
 1700620108.8360093; Info ; Radar stopped
 1700620108.8427227; Info ; Radar stopped
 1700620108.84893; Info ; Radar stopped
 1700620108.8562052; Info ; Radar stopped
 1700620108.8629212; Info ; Radar stopped
 1700620108.8693335; Info ; Radar stopped
 1700620108.876294; Info ; Radar stopped
 1700620108.8827956; Info ; Radar stopped
 1700620108.8895078; Info ; Radar stopped
 1700620108.8965428; Info ; Radar stopped
 1700620108.903266; Info ; Radar stopped
 1700620108.909976; Info ; Radar stopped
 1700620108.916709; Info ; Radar stopped
 1700620108.9234552; Info ; Radar stopped
 1700620108.9298763; Info ; Radar stopped
 1700620108.936561; Info ; Radar stopped
 1700620108.9437215; Info ; Radar stopped
 1700620108.9503753; Info ; Radar stopped
 1700620108.957098; Info ; Radar stopped
 1700620108.9638872; Info ; Radar stopped
 1700620108.9706106; Info ; Radar stopped
 1700620108.9769359; Info ; Radar stopped
 1700620108.9839745; Info ; Radar stopped
 1700620108.9903154; Info ; Radar stopped
 1700620108.9970846; Info ; Radar stopped
 1700620109.0040798; Info ; Radar stopped
 1700620109.0104427; Info ; Radar stopped
 1700620109.0171862; Info ; Radar stopped
 1700620109.023906; Info ; Radar stopped
 1700620109.0307012; Info ; Radar stopped
 1700620109.037807; Info ; Radar stopped
 1700620109.0444937; Info ; Radar stopped
 1700620109.0512476; Info ; Radar stopped
 1700620109.0579832; Info ; Radar stopped
 1700620109.0646594; Info ; Radar stopped
 1700620109.0710309; Info ; Radar stopped
 1700620109.0778098; Info ; Radar stopped
 1700620109.0845041; Info ; Radar stopped
 1700620109.0915945; Info ; Radar stopped
 1700620109.098375; Info ; Radar stopped
 1700620109.1051025; Info ; Radar stopped
 1700620109.1118548; Info ; Radar stopped
 1700620109.1185286; Info ; Radar stopped
 1700620109.1252198; Info ; Radar stopped
 1700620109.1318998; Info ; Radar stopped
 1700620109.1384842; Info ; Radar stopped
 1700620109.144974; Info ; Radar stopped
 1700620109.1516323; Info ; Radar stopped
 1700620109.158085; Info ; Radar stopped
 1700620109.1651084; Info ; Radar stopped
 1700620109.1714928; Info ; Radar stopped
 1700620109.1786506; Info ; Radar stopped
 1700620109.1853418; Info ; Radar stopped
 1700620109.191725; Info ; Radar stopped
 1700620109.1988401; Info ; Radar stopped
 1700620109.2052543; Info ; Radar stopped
 1700620109.2123206; Info ; Radar stopped
 1700620109.2190921; Info ; Radar stopped
 1700620109.2255425; Info ; Radar stopped
 1700620109.2325933; Info ; Radar stopped
 1700620109.2393694; Info ; Radar stopped
 1700620109.2458327; Info ; Radar stopped
 1700620109.2528632; Info ; Radar stopped
 1700620109.2596245; Info ; Radar stopped
 1700620109.2663941; Info ; Radar stopped
 1700620109.272845; Info ; Radar stopped
 1700620109.2793622; Info ; Radar stopped
 1700620109.2866607; Info ; Radar stopped
 1700620109.2931082; Info ; Radar stopped
 1700620109.3001382; Info ; Radar stopped
 1700620109.3069503; Info ; Radar stopped
 1700620109.313595; Info ; Radar stopped
 1700620109.3202736; Info ; Radar stopped
 1700620109.3266149; Info ; Radar stopped
 1700620109.3337574; Info ; Radar stopped
 1700620109.3401062; Info ; Radar stopped
 1700620109.347206; Info ; Radar stopped
 1700620109.3536727; Info ; Radar stopped
 1700620109.3607414; Info ; Radar stopped
 1700620109.3674386; Info ; Radar stopped
 1700620109.3738492; Info ; Radar stopped
 1700620109.380897; Info ; Radar stopped
 1700620109.387475; Info ; Radar stopped
 1700620109.3940895; Info ; Radar stopped
 1700620109.4008026; Info ; Radar stopped
 1700620109.4075277; Info ; Radar stopped
 1700620109.414538; Info ; Radar stopped
 1700620109.4212573; Info ; Radar stopped
 1700620109.4277122; Info ; Radar stopped
 1700620109.4344182; Info ; Radar stopped
 1700620109.4411771; Info ; Radar stopped
 1700620109.448231; Info ; Radar stopped
 1700620109.4549565; Info ; Radar stopped
 1700620109.4613254; Info ; Radar stopped
 1700620109.4684718; Info ; Radar stopped
 1700620109.4751492; Info ; Radar stopped
 1700620109.481995; Info ; Radar stopped
 1700620109.4886696; Info ; Radar stopped
 1700620109.4953594; Info ; Radar stopped
 1700620109.5021596; Info ; Radar stopped
 1700620109.5084581; Info ; Radar stopped
 1700620109.51556; Info ; Radar stopped
 1700620109.5219297; Info ; Radar stopped
 1700620109.528494; Info ; Radar stopped
 1700620109.5353844; Info ; Radar stopped
 1700620109.5424514; Info ; Radar stopped
 1700620109.5488822; Info ; Radar stopped
 1700620109.5559838; Info ; Radar stopped
 1700620109.562421; Info ; Radar stopped
 1700620109.5694184; Info ; Radar stopped
 1700620109.5761921; Info ; Radar stopped
 1700620109.5825212; Info ; Radar stopped
 1700620109.5892994; Info ; Radar stopped
 1700620109.5963902; Info ; Radar stopped
 1700620109.6028287; Info ; Radar stopped
 1700620109.6098254; Info ; Radar stopped
 1700620109.616472; Info ; Radar stopped
 1700620109.622894; Info ; Radar stopped
 1700620109.629943; Info ; Radar stopped
 1700620109.636343; Info ; Radar stopped
 1700620109.643452; Info ; Radar stopped
 1700620109.6501365; Info ; Radar stopped
 1700620109.656552; Info ; Radar stopped
 1700620109.663635; Info ; Radar stopped
 1700620109.6700735; Info ; Radar stopped
 1700620109.6771162; Info ; Radar stopped
 1700620109.6836221; Info ; Radar stopped
 1700620109.6906993; Info ; Radar stopped
 1700620109.6970875; Info ; Radar stopped
 1700620109.7041833; Info ; Radar stopped
 1700620109.710441; Info ; Radar stopped
 1700620109.7175431; Info ; Radar stopped
 1700620109.7238574; Info ; Radar stopped
 1700620109.7309234; Info ; Radar stopped
 1700620109.7372782; Info ; Radar stopped
 1700620109.744421; Info ; Radar stopped
 1700620109.750831; Info ; Radar stopped
 1700620109.757847; Info ; Radar stopped
 1700620109.7643049; Info ; Radar stopped
 1700620109.7713494; Info ; Radar stopped
 1700620109.7775645; Info ; Radar stopped
 1700620109.7848227; Info ; Radar stopped
 1700620109.7912996; Info ; Radar stopped
 1700620109.798338; Info ; Radar stopped
 1700620109.8048136; Info ; Radar stopped
 1700620109.81186; Info ; Radar stopped
 1700620109.8185098; Info ; Radar stopped
 1700620109.82498; Info ; Radar stopped
 1700620109.832005; Info ; Radar stopped
 1700620109.8383558; Info ; Radar stopped
 1700620109.8449414; Info ; Radar stopped
 1700620109.8513703; Info ; Radar stopped
 1700620109.85845; Info ; Radar stopped
 1700620109.8648217; Info ; Radar stopped
 1700620109.8718672; Info ; Radar stopped
 1700620109.8783007; Info ; Radar stopped
 1700620109.8853517; Info ; Radar stopped
 1700620109.8917978; Info ; Radar stopped
 1700620109.8988574; Info ; Radar stopped
 1700620109.9052942; Info ; Radar stopped
 1700620109.912344; Info ; Radar stopped
 1700620109.918776; Info ; Radar stopped
 1700620109.925813; Info ; Radar stopped
 1700620109.9325767; Info ; Radar stopped
 1700620109.9393451; Info ; Radar stopped
 1700620109.9461114; Info ; Radar stopped
 1700620109.952576; Info ; Radar stopped
 1700620109.9596262; Info ; Radar stopped
 1700620109.9660943; Info ; Radar stopped
 1700620109.973132; Info ; Radar stopped
 1700620109.9795752; Info ; Radar stopped
 1700620109.986641; Info ; Radar stopped
 1700620109.9930859; Info ; Radar stopped
 1700620110.0001566; Info ; Radar stopped
 1700620110.00661; Info ; Radar stopped
 1700620110.0136507; Info ; Radar stopped
 1700620110.0200982; Info ; Radar stopped
 1700620110.0271492; Info ; Radar stopped
 1700620110.0335872; Info ; Radar stopped
 1700620110.0406446; Info ; Radar stopped
 1700620110.047101; Info ; Radar stopped
 1700620110.0541291; Info ; Radar stopped
 1700620110.0605364; Info ; Radar stopped
 1700620110.0675821; Info ; Radar stopped
